Matrix Size,Naive Multiplication,OpenCV Multiplication,OpenMP Multiplication,Strassen Multiplication,
184,11844.3,4451.49,3408.64,4246.63,
185,12135.6,4350.02,3600.69,4583.37,
186,12302.7,4428.77,3404.8,5259.72,
187,12504.3,4502.71,3438.41,4632.98,
188,12654.4,4595.53,3456.33,4410.2,
189,12900.9,4641.63,5453.05,4622.74,
190,13144.8,4723.25,3847.8,4590.73,
191,13359.9,4793.67,3647.75,5166.57,
192,13646.1,4905.38,3711.12,4499.19,
193,13819.2,4958.83,3816.43,5112.8,
194,14024.7,5052.3,4038.26,5052.3,
195,14441.2,5158.89,4065.46,5023.81,
196,14728.6,5213.95,3970.08,4997.25,
197,14876.2,5617.58,4084.03,5498.83,
198,15232.8,5375.59,4189.34,5234.11,
199,15347.4,5474.82,4180.06,5391.6,
200,15458.7,5522.19,4216.87,5285.97,
201,15680.9,5623.66,4404.76,5427.45,
202,16271.5,5870.13,4547.2,5784.35,
203,16168.4,5911.1,4410.52,6062.19,
204,16539.1,5858.61,4839.76,5352.23,
205,16835.5,5967.76,4573.45,5922.31,
206,17040,6148.29,4733.49,5957.2,
207,17260.5,6119.48,4900.58,6124.28,
208,17312.4,6162.37,5261.64,5641.27,
209,17609.4,6328.18,4842,6430.29,
210,17868.1,6393.16,4891.62,6094.19,
211,18452.6,6523.44,5690.88,6194.7,
212,18268.2,6525.36,5159.53,6252.64,
213,18592.8,6626.82,5186.74,6398.92,
214,19120.3,6743.02,5224.83,6981.48,
215,19301.1,6894.1,5302.29,6332.34,
216,19612.2,6899.86,5463.62,6695.96,
217,20125.3,7028.86,5521.87,6781.43,
218,20704.1,7232.75,5510.35,6737.9,
219,20399,7363.67,5548.76,7590.94,
220,21154.4,7319.5,6048.42,6953.64,
221,21396.1,7866.53,6252.64,7113.36,
222,21108,7509.63,5999.45,6809.28,
223,21574.4,7640.87,6005.21,6806.08,
224,21923,7738.18,5950.15,7159.77,
225,22166.2,7834.2,6280.81,8791.91,
226,22363.4,7950.08,6131.32,8093.48,
227,22984.1,8117.16,6314.74,7938.55,
228,23043.9,8133.17,6333.62,7590.94,
229,23295.5,8267.61,6510.31,8054.75,
230,23766,8359.47,6622.98,8262.16,
231,23921,8501.27,6732.45,8032.34,
232,24499.4,8576.17,7000.69,7625.18,
233,25460.3,8838.01,7043.58,8265.04,
234,25483,8911.31,7293.89,8782.63,
235,25315.3,8917.71,6995.25,8179.9,
236,26007.3,8976.92,7395.36,7794.83,
237,26508.3,9352.07,7396.64,8515.04,
238,26969.8,9407.45,7477.3,8821.36,
239,26956.7,9374.48,7681.52,8179.58,
240,27449.3,9478.19,7539.72,8779.75,
241,27851.4,9596.3,8060.19,9802.44,
242,28639.7,9749.94,8163.58,9140.17,
243,28210.8,9829.33,7927.35,9359.43,
244,28705.7,9943.28,8314.02,8946.2,
245,28819.9,10124.1,8177.34,9544.12,
246,29039.5,10234.9,8052.5,9647.19,
247,30002.7,10375.7,8383.48,9896.22,
248,30133,10400.4,8705.81,9318.78,
249,30488.9,10536.1,8574.25,9525.24,
250,31434.4,10852.3,8830.96,9732.66,
