Matrix Size,Standard Sum,OpenMP Sum,Multithraed Sum,Standard Multiplication,OpenMP Multiplication,Multithraed Multiplication,
291,135.078,37.13,1118.71,60134,14940.8,8892.74,
292,136.039,37.451,873.846,58754.1,14456.5,7718.97,
293,136.038,37.45,813.669,58985.9,14991.7,7403.36,
294,136.998,37.77,1069.1,59165.1,17469.6,7682.8,
295,138.279,39.691,983.637,60498.3,15253.3,8953.24,
296,148.522,38.411,1041.89,60750.5,14978.6,8153.33,
297,138.599,38.731,799.265,62190.3,15672.9,8087.4,
298,144.681,39.051,832.874,63326.6,15742.7,8965.08,
299,142.761,39.051,802.465,63816.7,15823.7,8379.32,
300,143.72,40.011,828.072,63499.8,15756.4,8090.28,
301,144.361,39.691,1076.46,64994.6,16514.1,8427.65,
302,145.321,39.691,829.353,65047.4,16117.8,8486.23,
303,145.641,40.331,863.923,66575.9,16543.5,8990.05,
304,147.561,40.331,821.031,66130.9,16703.9,8758.62,
305,146.921,40.652,838.636,67527.1,17133.8,9156.82,
306,148.842,40.332,836.075,68894.3,17383.4,9758.26,
307,150.762,40.971,871.285,70313.9,17379,9672.48,
308,149.482,40.971,834.155,70295,17310.8,9327.74,
309,151.083,41.292,857.842,71797.8,17820.1,10120.6,
310,151.723,41.612,833.834,71412.1,17908.7,9413.21,
311,153.964,41.932,841.196,73404,18177.3,10474.6,
312,154.923,42.251,839.916,74017.6,18366.4,12166.3,
313,157.804,42.572,818.791,74118.1,18579.3,10212.8,
314,157.164,43.533,832.234,75364.2,18594.3,10370.3,
315,157.485,42.572,828.073,74771.1,18737.1,9648.47,
316,159.085,245.829,895.292,76046,18776.2,10154.5,
317,157.805,43.212,871.605,77055.3,19291.2,10531.3,
318,161.005,44.492,823.591,77993.1,19334.7,10874.7,
319,161.325,43.853,853.04,78400.6,19422.1,12637.8,
320,161.965,45.453,856.24,79381.4,19528.7,10906.4,
321,163.886,44.173,972.753,80046.2,19931,10908.7,
322,164.526,45.453,824.232,80132,19870.6,10956.7,
323,165.167,44.812,843.757,83171.2,20777.7,11530,
324,168.047,46.093,854.961,82717.7,20561.6,11699.3,
325,165.807,45.773,878.967,83394,20808.7,11127.9,
326,169.007,46.413,883.769,84858.8,21033.1,11941.9,
327,168.687,45.772,877.687,84804,21072.2,11490.9,
328,170.608,46.413,806.947,86548.2,21409.5,12466.5,
329,174.129,46.733,846.638,86455.4,21788.5,11497,
330,174.449,47.374,1003.16,88151.8,21962.7,12175.9,
331,177.01,46.733,841.837,88768.6,21954,12410.5,
332,174.769,47.693,817.83,88817.9,21971.6,12339.2,
333,177.33,47.693,877.047,90593.2,22574.3,12679.1,
334,177.65,48.654,870.644,90151.8,22500.7,12549.8,
335,178.291,47.694,876.406,91942.7,22825.9,12704.1,
336,179.89,48.974,859.442,92393.4,22731.2,12726.1,
337,180.211,48.973,857.521,95126,23597.7,13247.6,
338,182.131,55.056,895.612,95223.6,23499.4,13451.5,
339,182.771,49.614,884.409,95283.1,23774.4,13032.8,
