Matrix Size,Threshold(4),Threshold(8),Threshold(6),Threshold(32),Threshold(64),
392,74503,72625,73302,72389,72394,
393,73686,89907,74273,74859,75056,
394,74915,73944,74809,74276,73102,
395,74542,73318,72074,73319,73353,
396,73253,73319,72738,73030,72619,
397,73374,74265,72924,73380,73478,
398,74220,72900,72776,74574,72955,
399,74422,72998,72384,72927,73735,
400,73206,73642,72477,73421,73133,
401,73624,73211,72399,72643,74019,
402,73458,72251,73244,72633,72677,
403,73406,76373,72925,72459,73864,
404,73274,73120,74968,72505,73176,
405,73550,72374,73598,72589,74083,
406,73451,72796,73235,72852,72464,
407,73352,73161,73643,72450,72576,
408,73110,72845,73330,72322,72948,
409,73258,72752,73314,73229,72521,
410,74164,72563,73624,72381,73041,
411,73475,72911,72879,72483,73545,
412,74129,73332,71653,73617,72545,
413,74333,72478,73285,73219,72585,
414,74720,72562,72435,80089,74314,
415,73662,73379,73488,72630,72813,
416,73295,72698,73534,72298,72855,
417,74055,73084,73644,72699,72736,
418,85480,72903,73726,72541,72933,
419,73361,73072,72830,74479,72425,
420,91252,73796,77142,75087,75240,
421,74511,75757,73853,73177,73184,
422,73576,72957,73173,72263,72457,
423,74582,72903,73138,72910,72678,
424,74849,72970,73775,72428,72723,
425,79837,72810,73157,72419,72588,
426,73409,72542,73382,72530,72951,
427,72758,73921,73450,73284,72490,
428,73120,72519,73668,72508,72345,
429,73531,73391,73636,72652,72924,
430,73832,72951,73681,72702,72683,
431,74463,73062,73426,72128,73012,
432,74404,72689,73503,72472,72649,
433,74172,72755,74319,72488,73286,
434,73665,73029,73985,72543,72856,
435,74531,72869,74192,72593,73014,
436,73809,72943,73487,72551,73129,
437,73883,72655,73784,72597,72485,
438,74113,73756,72806,72866,73160,
439,74351,72659,77955,73375,72157,
440,73608,72506,73418,73357,72669,
441,73592,72539,73995,72595,72950,
442,73437,73241,73077,72384,73559,
443,73579,72518,73716,72844,72486,
444,72996,72998,73519,78203,72522,
445,73583,80487,86792,73430,72795,
446,74550,72565,73305,73280,72529,
447,74600,74082,73512,72935,72435,
448,74560,72769,73785,71991,72751,
449,74041,72611,72423,73305,72533,
450,74957,72513,72895,72645,72736,
451,74152,73030,72578,73528,73574,
452,74285,72809,72588,72898,72589,
453,75003,72609,73636,72627,73515,
454,74289,72733,73764,72422,72863,
455,74343,73357,73911,73308,72993,
456,73404,72794,73728,72570,72498,
457,72901,74645,73346,72512,73989,
458,87581,89578,75396,75018,75203,
459,75282,73764,78101,76072,73533,
460,74147,73528,72488,72944,73186,
461,74217,73803,72735,72489,73902,
462,73860,73435,72667,72889,73795,
463,73680,73378,72363,72566,73269,
464,74104,73471,72461,72630,73398,
465,73764,75007,72664,73057,73774,
466,73818,73236,72955,72504,73191,
467,73708,73811,72524,72857,72718,
468,73999,73898,88246,74343,74724,
469,74961,75312,75319,75362,74458,
470,73412,72661,73116,72730,72443,
471,75749,73366,72419,73207,73164,
472,74730,72091,72609,73507,72531,
473,74319,72624,72554,73202,72814,
474,74892,72891,72528,74438,72644,
475,74931,73292,72639,73430,72580,
476,88695,74200,74730,73501,74556,
477,75505,74204,76646,72548,72321,
478,74336,73223,72671,73511,72556,
479,74502,72709,73004,73104,72858,
480,74518,74760,73281,72511,72600,
481,73804,72565,73693,72356,73661,
482,73802,72801,74230,72916,73440,
483,73407,72604,73504,72342,72854,
484,74346,72709,73422,72724,72412,
485,73741,72847,73882,72403,73186,
486,73421,72680,73229,72685,72736,
487,73284,72641,73794,72544,73245,
488,73667,73128,73962,73183,72375,
489,73316,72477,73558,72415,75437,
490,73862,72778,73467,72941,73618,
491,73566,74181,72440,72408,73014,
492,73484,73308,72394,72641,73393,
493,74107,73975,72217,73418,73518,
494,73673,74347,72519,73185,73316,
495,73518,73351,72500,72867,73565,
496,75034,72680,73049,73585,72680,
497,73668,72600,73043,72174,73109,
498,73352,73134,72589,72531,73257,
499,73175,73296,72751,73860,72572,
500,73731,73001,72569,73736,72502,
