Size,Standard Multiplication,Strassen Multiplication,
408,166130,160087,
409,165823,170786,
410,166590,170475,
411,169065,170412,
412,169327,170365,
413,171621,169910,
414,172657,170648,
415,174591,169682,
416,175156,169057,
417,175410,179158,
418,177346,179034,
419,179497,179399,
420,178595,182626,
421,182116,186439,
422,183373,179948,
423,184179,180058,
424,186850,179053,
425,186288,188054,
426,189007,188691,
427,187717,187620,
428,189038,187665,
429,191592,188925,
430,191312,189092,
431,196876,188153,
432,194319,187310,
433,196956,198538,
434,198203,198970,
435,201453,199353,
436,203257,201785,
437,202828,198144,
438,204819,199328,
439,206368,198454,
440,208303,198243,
441,209638,209487,
442,211728,210181,
443,212125,209902,
444,213184,210097,
445,214149,209722,
446,216607,209705,
447,218581,209807,
448,219577,208874,
449,221536,220046,
450,222826,220148,
451,224815,220601,
452,224922,220565,
453,227285,220233,
454,228691,220051,
455,228955,220910,
456,233251,219509,
457,232994,231107,
458,235523,230653,
459,237830,231482,
460,237915,230552,
461,241249,232053,
462,242707,231271,
463,242076,231797,
464,244495,230052,
465,248090,244782,
466,246211,242786,
467,247422,243057,
468,247106,242307,
469,254200,251541,
470,254786,243484,
471,256709,242088,
472,258090,242914,
473,261227,256800,
474,260955,256104,
475,263463,254939,
476,265204,255447,
477,267147,254993,
478,268789,255210,
479,270112,255131,
480,272932,253924,
481,273022,268514,
482,276138,267798,
483,277528,271697,
484,275979,268503,
485,279519,268871,
486,283142,267924,
487,284782,268254,
488,286829,266983,
489,287172,279570,
490,287829,280151,
491,288879,279770,
492,289124,281859,
493,293929,281904,
494,294633,279766,
495,296264,279351,
496,297787,278281,
497,301041,293248,
498,301981,293973,
499,300544,293104,
