Size,Standard Multiplication,Multithraed Multiplication,Strassen Multiplication,
428,192141,48223.3,46865.2,
429,193324,48554.6,47076.1,
430,194736,49385.9,49441,
431,197555,50241.5,46493.3,
432,197354,50889,46690.4,
433,198284,49962.4,47729.8,
434,200979,50796.5,48271.7,
435,203092,51012.6,50238.9,
436,203075,50912.1,48280.6,
437,204555,51669.1,48145.9,
438,206449,52070.8,48340.5,
439,208524,52722.8,48473,
440,209130,52648.6,47135.4,
441,211946,53531.4,50134.6,
442,213174,53477.6,50273.8,
443,212862,54034.9,49828,
444,214097,54148.5,50464,
445,216421,54634.7,49976.2,
446,217594,55034.2,50474.2,
447,216591,55382.5,50274.5,
448,220467,55429.8,49548.5,
449,222640,56424,54791.3,
450,222630,56554.9,55053.7,
451,226921,57118,54165.5,
452,226671,57029.6,54523.3,
453,228117,57652.2,54702.6,
454,229494,58157,54402.3,
455,231735,58272.2,54353.7,
456,232379,58874.6,53580.7,
457,234526,59191.8,56914.7,
458,236947,60260,56366.4,
459,236244,60271.8,57006.6,
460,238373,60282.1,56194.5,
461,242402,61247.5,56286.7,
462,241920,61532.3,56118,
463,243789,61748.1,57467.2,
464,247123,62428.9,56161.9,
465,246672,62904.2,57849.7,
466,247858,62994.5,57540.5,
467,252832,64789.6,58399.9,
468,254542,64490,65191.9,
469,254489,64945.4,58028.3,
470,258063,65497.3,58057.4,
471,258155,65335.9,57880.4,
472,260354,65887.1,59060.6,
473,260491,66428.4,59891.2,
474,263835,66975.1,60200.1,
475,266824,67772.1,59694.4,
476,265566,67379.4,60838.1,
477,269055,68052.9,61419,
478,269762,69412,59716.8,
479,271058,69579.4,59714.2,
480,273730,69071.1,58987.6,
481,274731,69700.7,64928.5,
482,277261,71072.3,65599.7,
483,278323,70488.7,64945.8,
484,281021,71577.4,64605.8,
485,281942,72127.6,65252.1,
486,282521,71992.5,65030.3,
487,286542,73506.2,64928.8,
488,287998,73174.3,64307.2,
489,285997,73917.2,67921.6,
490,290097,74210.7,67805.1,
491,293179,74715.8,67171,
492,294312,74209.5,67307.4,
493,296118,76066.9,67707.5,
494,300583,77159.1,67131,
